experiment_order,experiment_id,experiment_name,or_fallback_k,semantic_weight,lexical_and_weight,lexical_or_weight,gold_view,strategy,k,n_questions,evidence_hit_at_k,evidence_precision_at_k,evidence_recall_at_k,mrr_at_k,map_at_k,claim_coverage_at_k,document_hit_at_k,page_hit_at_k
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,expanded,hybrid,1,31,0.41935483870967744,0.41935483870967744,0.2210889468953985,0.41935483870967744,0.2210889468953985,0.28873062421449514,0.45161290322580644,0.41935483870967744
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,expanded,hybrid,3,31,0.5483870967741935,0.2150537634408602,0.27011608463221365,0.46774193548387094,0.24413042154977638,0.3674696271470465,0.6451612903225806,0.5483870967741935
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,expanded,hybrid,5,31,0.5483870967741935,0.13548387096774195,0.2719081993275541,0.46774193548387094,0.24520569036698067,0.3674696271470465,0.7419354838709677,0.5483870967741935
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,expanded,hybrid,10,31,0.6774193548387096,0.0967741935483871,0.4163014404949889,0.4848950332821301,0.271054811377392,0.5066436251920122,0.9354838709677419,0.7096774193548387
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,human_only,hybrid,1,18,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.1111111111111111,0.1111111111111111
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,human_only,hybrid,3,18,0.2222222222222222,0.07407407407407407,0.12962962962962962,0.14814814814814814,0.08024691358024691,0.15185185185185185,0.3888888888888889,0.2222222222222222
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,human_only,hybrid,5,18,0.2222222222222222,0.044444444444444446,0.12962962962962962,0.14814814814814814,0.08024691358024691,0.15185185185185185,0.5555555555555556,0.2222222222222222
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,human_only,hybrid,10,18,0.3888888888888889,0.05,0.2592592592592593,0.16743827160493827,0.1025977366255144,0.29537037037037034,0.8888888888888888,0.4444444444444444
