experiment_order,experiment_id,experiment_name,or_fallback_k,semantic_weight,lexical_and_weight,lexical_or_weight,gold_view,strategy,k,n_questions,evidence_hit_at_k,evidence_precision_at_k,evidence_recall_at_k,mrr_at_k,map_at_k,claim_coverage_at_k,document_hit_at_k,page_hit_at_k
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,expanded,hybrid,1,31,0.41935483870967744,0.41935483870967744,0.2210889468953985,0.41935483870967744,0.2210889468953985,0.28873062421449514,0.4838709677419355,0.41935483870967744
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,expanded,hybrid,3,31,0.5483870967741935,0.2150537634408602,0.2685031814064072,0.46774193548387094,0.24359278714117424,0.3642438206954336,0.6774193548387096,0.5483870967741935
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,expanded,hybrid,5,31,0.5806451612903226,0.14193548387096774,0.27835981223078,0.47580645161290325,0.2466841849906366,0.383598659405111,0.7741935483870968,0.5806451612903226
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,expanded,hybrid,10,31,0.6451612903225806,0.0903225806451613,0.3636132684519781,0.48342293906810035,0.26377327869263356,0.4569124423963134,0.9354838709677419,0.6774193548387096
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,human_only,hybrid,1,18,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.16666666666666666,0.1111111111111111
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,human_only,hybrid,3,18,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.12962962962962962,0.07407407407407407,0.12962962962962965,0.3888888888888889,0.16666666666666666
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,human_only,hybrid,5,18,0.2222222222222222,0.044444444444444446,0.12962962962962962,0.1435185185185185,0.0787037037037037,0.15185185185185185,0.5,0.2222222222222222
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,human_only,hybrid,10,18,0.2777777777777778,0.03333333333333334,0.16666666666666666,0.15046296296296294,0.08912037037037036,0.20277777777777778,0.8333333333333334,0.3333333333333333
