experiment_order,experiment_id,experiment_name,or_fallback_k,semantic_weight,lexical_and_weight,lexical_or_weight,gold_view,strategy,k,n_questions,evidence_hit_at_k,evidence_precision_at_k,evidence_recall_at_k,mrr_at_k,map_at_k,claim_coverage_at_k,document_hit_at_k,page_hit_at_k
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,expanded,hybrid,1,31,0.4838709677419355,0.4838709677419355,0.2506588393685168,0.4838709677419355,0.2506588393685168,0.32152632313922636,0.5161290322580645,0.4838709677419355
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,expanded,hybrid,3,31,0.5806451612903226,0.2150537634408602,0.31389488647553165,0.5268817204301075,0.27894864991639184,0.41585672392124,0.7741935483870968,0.6129032258064516
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,expanded,hybrid,5,31,0.6451612903225806,0.17419354838709677,0.40452468678275133,0.543010752688172,0.3106306775661614,0.4817169389750035,0.9354838709677419,0.6774193548387096
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,expanded,hybrid,10,31,0.7096774193548387,0.10645161290322581,0.4242193290580387,0.5506272401433692,0.3155456103036748,0.531989247311828,0.967741935483871,0.7419354838709677
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,hybrid,1,18,0.1111111111111111,0.1111111111111111,0.046296296296296294,0.1111111111111111,0.046296296296296294,0.07777777777777778,0.16666666666666666,0.1111111111111111
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,hybrid,3,18,0.16666666666666666,0.05555555555555555,0.07407407407407407,0.1388888888888889,0.06018518518518518,0.0962962962962963,0.5555555555555556,0.2222222222222222
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,hybrid,5,18,0.2777777777777778,0.07777777777777778,0.19444444444444445,0.16666666666666666,0.09722222222222222,0.22592592592592592,0.7222222222222222,0.3333333333333333
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,hybrid,10,18,0.2777777777777778,0.03888888888888889,0.19444444444444445,0.16666666666666666,0.09722222222222222,0.22592592592592592,0.8333333333333334,0.3333333333333333
