experiment_order,experiment_id,experiment_name,or_fallback_k,semantic_weight,lexical_and_weight,lexical_or_weight,gold_view,strategy,k,n_questions,evidence_hit_at_k,evidence_precision_at_k,evidence_recall_at_k,mrr_at_k,map_at_k,claim_coverage_at_k,document_hit_at_k,page_hit_at_k
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,expanded,hybrid,1,31,0.41935483870967744,0.41935483870967744,0.24374639697220343,0.41935483870967744,0.24374639697220343,0.3009984639016897,0.6774193548387096,0.45161290322580644
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,expanded,hybrid,3,31,0.6129032258064516,0.22580645161290322,0.32951188596349884,0.510752688172043,0.28304491207717014,0.4161499790532049,0.8387096774193549,0.6451612903225806
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,expanded,hybrid,5,31,0.6129032258064516,0.16129032258064516,0.3533214097730227,0.510752688172043,0.29525689364399044,0.4311793045664013,0.9354838709677419,0.6451612903225806
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,expanded,hybrid,10,31,0.7096774193548387,0.1032258064516129,0.41961103412716316,0.5247695852534562,0.3095391167971813,0.531989247311828,0.967741935483871,0.7419354838709677
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,hybrid,1,18,0.1111111111111111,0.1111111111111111,0.046296296296296294,0.1111111111111111,0.046296296296296294,0.07777777777777778,0.3888888888888889,0.16666666666666666
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,hybrid,3,18,0.2222222222222222,0.07407407407407407,0.12962962962962962,0.15740740740740738,0.07870370370370369,0.17037037037037037,0.6111111111111112,0.2777777777777778
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,hybrid,5,18,0.2777777777777778,0.06666666666666668,0.16666666666666666,0.17129629629629628,0.09074074074074073,0.2074074074074074,0.7222222222222222,0.3333333333333333
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,hybrid,10,18,0.2777777777777778,0.03888888888888889,0.19444444444444445,0.17129629629629628,0.09867724867724867,0.22592592592592592,0.8333333333333334,0.3333333333333333
