experiment_order,experiment_id,experiment_name,or_fallback_k,semantic_weight,lexical_and_weight,lexical_or_weight,gold_view,strategy,k,n_questions,evidence_hit_at_k,evidence_precision_at_k,evidence_recall_at_k,mrr_at_k,map_at_k,claim_coverage_at_k,document_hit_at_k,page_hit_at_k
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,expanded,hybrid,1,31,0.4838709677419355,0.4838709677419355,0.22915346302443076,0.4838709677419355,0.22915346302443076,0.32152632313922636,0.5161290322580645,0.4838709677419355
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,expanded,hybrid,3,31,0.5483870967741935,0.22580645161290322,0.28854926435571593,0.510752688172043,0.2601314456153166,0.3762672811059908,0.7096774193548387,0.5483870967741935
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,expanded,hybrid,5,31,0.6129032258064516,0.16774193548387098,0.3853234579041031,0.5268817204301075,0.29185187572284343,0.46632104454685097,0.9354838709677419,0.6451612903225806
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,expanded,hybrid,10,31,0.7419354838709677,0.11290322580645161,0.44214047601144374,0.5432667690732207,0.3035719955074794,0.5481182795698925,0.967741935483871,0.7741935483870968
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,human_only,hybrid,1,18,0.1111111111111111,0.1111111111111111,0.046296296296296294,0.1111111111111111,0.046296296296296294,0.07777777777777778,0.16666666666666666,0.1111111111111111
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,human_only,hybrid,3,18,0.16666666666666666,0.05555555555555555,0.07407407407407407,0.12962962962962965,0.05555555555555555,0.1148148148148148,0.5,0.16666666666666666
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,human_only,hybrid,5,18,0.2777777777777778,0.06666666666666668,0.17592592592592593,0.15462962962962962,0.08703703703703704,0.2074074074074074,0.7222222222222222,0.3333333333333333
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,human_only,hybrid,10,18,0.3888888888888889,0.05,0.2592592592592593,0.1687389770723104,0.10217519106407995,0.29537037037037034,0.8888888888888888,0.4444444444444444
