experiment_order,experiment_id,experiment_name,or_fallback_k,semantic_weight,lexical_and_weight,lexical_or_weight,gold_view,strategy,k,n_questions,evidence_hit_at_k,evidence_precision_at_k,evidence_recall_at_k,mrr_at_k,map_at_k,claim_coverage_at_k,document_hit_at_k,page_hit_at_k
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,expanded,hybrid,1,31,0.4838709677419355,0.4838709677419355,0.23721797915346304,0.4838709677419355,0.23721797915346304,0.32905320485965645,0.4838709677419355,0.4838709677419355
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,expanded,hybrid,3,31,0.5806451612903226,0.23655913978494622,0.3046782966137805,0.5215053763440861,0.2683879740331353,0.40852534562211984,0.6451612903225806,0.5806451612903226
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,expanded,hybrid,5,31,0.6451612903225806,0.16129032258064516,0.3853234579041031,0.5344086021505376,0.28774281274281277,0.4784178187403994,0.8387096774193549,0.6451612903225806
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,expanded,hybrid,10,31,0.6451612903225806,0.1,0.41271721110430787,0.5344086021505376,0.2963751366401136,0.49374039938556064,0.9354838709677419,0.6774193548387096
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,human_only,hybrid,1,18,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.16666666666666666,0.1111111111111111
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,human_only,hybrid,3,18,0.2222222222222222,0.07407407407407407,0.12962962962962962,0.15740740740740738,0.08333333333333333,0.15185185185185185,0.3888888888888889,0.2222222222222222
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,human_only,hybrid,5,18,0.2777777777777778,0.06666666666666668,0.21296296296296294,0.1685185185185185,0.10555555555555556,0.24444444444444446,0.6666666666666666,0.2777777777777778
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,human_only,hybrid,10,18,0.3888888888888889,0.05,0.2592592592592593,0.18439153439153438,0.11415343915343915,0.29537037037037034,0.8333333333333334,0.4444444444444444
