gold_view,strategy,k,n_questions,evidence_hit_at_k,evidence_precision_at_k,evidence_recall_at_k,mrr_at_k,map_at_k,claim_coverage_at_k,document_hit_at_k,page_hit_at_k
expanded,hybrid,1,31,0.41935483870967744,0.41935483870967744,0.2210889468953985,0.41935483870967744,0.2210889468953985,0.28873062421449514,0.4838709677419355,0.41935483870967744
expanded,hybrid,3,31,0.5483870967741935,0.2150537634408602,0.2685031814064072,0.46774193548387094,0.24359278714117424,0.3642438206954336,0.6774193548387096,0.5483870967741935
expanded,hybrid,5,31,0.5806451612903226,0.14193548387096774,0.30255336061787674,0.47419354838709676,0.2511196688616043,0.39650188521156265,0.8387096774193549,0.6129032258064516
expanded,hybrid,10,31,0.6451612903225806,0.0903225806451613,0.3492763508892541,0.4831541218637993,0.26265320700804573,0.44938556067588326,0.9032258064516129,0.6774193548387096
expanded,lexical,1,31,0.12903225806451613,0.12903225806451613,0.039100684261974585,0.12903225806451613,0.039100684261974585,0.06874039938556067,0.3870967741935484,0.12903225806451613
expanded,lexical,3,31,0.25806451612903225,0.0967741935483871,0.09589693460661201,0.1881720430107527,0.06988829569474732,0.15126728110599078,0.6451612903225806,0.25806451612903225
expanded,lexical,5,31,0.4838709677419355,0.10967741935483873,0.2535844084231181,0.2413978494623656,0.10840107323978292,0.321075967043709,0.7741935483870968,0.4838709677419355
expanded,lexical,10,31,0.6129032258064516,0.0903225806451613,0.3418312869925773,0.2586405529953917,0.12585548262967616,0.41772447982125405,0.9032258064516129,0.6129032258064516
expanded,semantic,1,31,0.3225806451612903,0.3225806451612903,0.17385392385392387,0.3225806451612903,0.17385392385392387,0.22841781874039938,0.6129032258064516,0.3548387096774194
expanded,semantic,3,31,0.5483870967741935,0.2043010752688172,0.2649957569312408,0.43010752688172044,0.2203208977402526,0.3516338500209468,0.7741935483870968,0.5806451612903226
expanded,semantic,5,31,0.5483870967741935,0.13548387096774195,0.2780525925687216,0.43010752688172044,0.2266189008124492,0.35456640134059486,0.8387096774193549,0.5806451612903226
expanded,semantic,10,31,0.6774193548387096,0.09354838709677421,0.3766002814389911,0.4473502304147466,0.244126930417253,0.48763440860215057,0.9032258064516129,0.7096774193548387
human_only,hybrid,1,18,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.16666666666666666,0.1111111111111111
human_only,hybrid,3,18,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.12962962962962962,0.07407407407407407,0.12962962962962965,0.3888888888888889,0.16666666666666666
human_only,hybrid,5,18,0.16666666666666666,0.03333333333333334,0.1111111111111111,0.12962962962962962,0.07407407407407407,0.12962962962962965,0.5555555555555556,0.2222222222222222
human_only,hybrid,10,18,0.2777777777777778,0.03333333333333334,0.16666666666666666,0.14583333333333334,0.08757716049382716,0.20277777777777778,0.7222222222222222,0.3333333333333333
human_only,lexical,1,18,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.16666666666666666,0.05555555555555555
human_only,lexical,3,18,0.16666666666666666,0.05555555555555555,0.07407407407407407,0.1111111111111111,0.05092592592592592,0.09259259259259259,0.4444444444444444,0.16666666666666666
human_only,lexical,5,18,0.3333333333333333,0.06666666666666668,0.24074074074074073,0.14722222222222223,0.08703703703703704,0.2592592592592593,0.6111111111111112,0.3333333333333333
human_only,lexical,10,18,0.3333333333333333,0.03333333333333334,0.24074074074074073,0.14722222222222223,0.08703703703703704,0.2592592592592593,0.7222222222222222,0.3333333333333333
human_only,semantic,1,18,0.1111111111111111,0.1111111111111111,0.046296296296296294,0.1111111111111111,0.046296296296296294,0.07777777777777778,0.4444444444444444,0.16666666666666666
human_only,semantic,3,18,0.2777777777777778,0.09259259259259259,0.14814814814814814,0.1851851851851852,0.0941358024691358,0.18888888888888888,0.6111111111111112,0.3333333333333333
human_only,semantic,5,18,0.2777777777777778,0.05555555555555555,0.14814814814814814,0.1851851851851852,0.0941358024691358,0.18888888888888888,0.6666666666666666,0.3333333333333333
human_only,semantic,10,18,0.3333333333333333,0.03888888888888889,0.2314814814814815,0.19074074074074077,0.10762786596119929,0.26296296296296295,0.8333333333333334,0.3888888888888889
