path,role,sha256,size_bytes,modified_utc,page_count,nonempty_extracted_pages,used
docs/mama/mama_en_SEOM-GEICAM-SOLTI_clinical-guidelines-hereditary-breast-ovarian-cancer_2019.pdf,document_corpus,cefae88d03b0793a27bad21a0e336835bd2875c04daa98abe421b99779e5f244,843572,2026-04-23T10:30:56.651451+00:00,8,8,true
docs/mama/mama_es_esmo_guia-para-pacientes_v1.pdf,document_corpus,c7796c820598cefe61e010bf51aae401726c5971f7bca662a3d3c3de239f39d0,4282617,2026-06-23T14:32:29.686255+00:00,76,76,true
docs/mama/mama_es_HUReinaSofia_protocolo-cancer-mama_2021.pdf,document_corpus,6d932546954f8f18995a2c98acfa0000dfea076e3b9d037ab94031ef58c377e8,2649045,2025-12-30T13:13:06.553776+00:00,122,121,true
docs/mama/mama_es_novartis_guia-pacientes-CM_2025.pdf,document_corpus,28bba1586be18fb3669ccdbb404851ad99df2cb9511c88f4f4121484746a9b2e,5747545,2025-12-30T13:13:06.540069+00:00,126,126,true
docs/mama/mama_es_SEOM_cancer-mama_2025.pdf,document_corpus,39a812726c35d99492df7316a237bd721542fafcc65e3e831bbab7b89ca254ef,519382,2026-04-23T10:32:59.912865+00:00,23,23,true
docs/mama/mama_es_SEOM_recomendaciones-seguimiento-mujeres-supervivientes-cancer-mama_2017.pdf,document_corpus,d986a71f6acef2d83e23179744e8f5195fa5c177b19ec4ab68e34d66f8eeea12,2000841,2026-04-23T10:34:50.580304+00:00,28,27,true
docs/prostata/prostata_en_EAU-EANM-ESTRO-ESUR-ISUP-SIOG_Guidelines-on-Prostate-Cancer_2026.pdf,document_corpus,fe9e2a1926669e78d5ea2e504c6a10bf3f8b2fff6cc2e5727915baafa0224a54,2148267,2026-04-23T10:42:02.880051+00:00,159,159,true
docs/prostata/prostata_en_springer_clinical-guidelines-for-prostate-cancer-treatment_2020.pdf,document_corpus,b896a766acd7d46e7bd480c64c7c798f74e5d648411273e227784e1ea4aa9db6,824778,2025-12-30T13:13:06.423809+00:00,11,11,true
docs/prostata/prostata_es_esmo_guia-para-pacientes_2022.pdf,document_corpus,9ac2ad54b4dc782c9568f3b498f891d12f9e7abe9b60b0f259b7dd62c5ca6419,4103073,2025-12-30T13:13:06.451108+00:00,63,63,true
docs/prostata/prostata_es_gepac_guia-cancer-de-prostata_2020.pdf,document_corpus,26958c5754921990fd18f111c2c11b9fc5e1c7457655e66a2b3b67bcf1d7733f,5684249,2025-12-30T13:13:06.490104+00:00,202,172,true
docs/prostata/prostata_es_SEOM_cancer-prostata_2025.pdf,document_corpus,35347cc86d0414a5d2129fa8ec6f8b1caa85f7aacea691019081d136ccf99917,288464,2026-04-23T10:36:59.372370+00:00,27,26,true
docs/prostata/prostata_es_seor_guia-para-pacientes_v1.pdf,document_corpus,0eaf3010daa115281bb1ec87e7e2cebd8e611118c9aef866ad9acb3dcc31c79c,1132681,2025-12-30T13:13:06.459012+00:00,21,21,true
